Title,Score,Vote,Popularity,Members,Favorite,Status,Demographics
Dragon Half,7.34,1495,4858,3970,104,Finished,[]
Zero (Zero - The Beginning of The Coffin),7.34,2415,3670,5411,36,Finished,[Seinen]
Gakuen Utopia Manabi Straight!,7.34,118,21851,500,7,Finished,[]
Koori no Mamono no Monogatari Gaiden (The Ice-Cold DemonS Tale Special),7.34,230,18539,671,4,Finished,[]
Allison,7.34,196,15702,881,7,Finished,[]
Zenbu Shiritaiâ™¡,7.34,1355,6849,2701,4,Finished,[Shoujo]
Street Fighter: Sakura Ganbaru! (Street Fighter: Sakura Gives it Her Best!; Street Fighter Sakura Ganbaru!),7.34,463,13470,1110,21,Finished,[]
Ginga Nagareboshi Gin - Special Chapter,7.34,127,25471,368,8,Finished,[Seinen]
UFO Princess Valkyrie,7.34,126,19863,595,6,Finished,[Shounen]
Toradora Spin-off!,7.34,349,6860,2697,23,Finished,[]
Kinkyori Renai (LoveS Reach),7.34,1973,2920,6796,43,Finished,[Shoujo]
Suki nan desu,7.34,1935,5724,3308,5,Finished,[Shoujo]
Teppen!,7.34,2111,4314,4521,10,Finished,[Shoujo]
Hekikai no  (AiON),7.34,3170,2467,7972,112,Finished,[Shounen]
"Haikei, Nanashi-sama",7.34,2002,5535,3450,7,Finished,[Shoujo]
I â™¥ HS (I Love High School),7.34,3383,2949,6736,23,Finished,[Shoujo]
ChildrenS Time,7.34,335,18948,647,0,Finished,[]
Shounen Shoujo Hyouryuuki,7.34,954,7444,2451,19,Finished,[Seinen]
Clover no Kuni no Alice: Bloody Twins (Alice in the Country of Clover: Bloody Twins),7.34,970,6784,2736,21,Finished,[Shoujo]
Shounen-tachi no Ita Natsu: Melody of Jenny,7.34,147,24978,383,3,Finished,[Shounen]
Kamisama Hajimemashita: Sonogo no Futari,7.34,209,17851,714,8,Finished,[]
Ao ni Naku,7.34,541,11770,1341,17,Finished,[]
Isso Koe ga Nakattara,7.34,953,8660,2021,16,Finished,[]
Baki-dou,7.34,4165,1846,10370,117,Finished,[Shounen]
"Nihon e Youkoso Elf-san. (Welcome to Japan, Ms. Elf!)",7.34,2568,2103,9190,50,Publishing,[]
Manshuu Ahen Squad (Manchuria Opium Squad),7.34,750,4116,4797,28,Publishing,[Seinen]
Futari wa Daitai Konna Kanji (The Two of Them Are Pretty Much Like This),7.34,813,7701,2347,18,Finished,[]
Nomi x Shiba,7.34,250,16045,849,4,Publishing,[]
Sodom no Hana ni Kiraboshi (A Star Twinkles Above a Flower in Sodom),7.34,368,15744,876,5,Finished,[Shoujo]
Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,7.34,2995,1897,10022,71,Publishing,[]
Hei no Naka no Biyoushitsu (The Depth of the Sky),7.34,235,21652,508,2,Finished,[Seinen]
Yumemiru Danshi wa Genjitsushugisha (The Dreaming Boy Is a Realist),7.34,407,8313,2135,64,Publishing,[]
Newton no Tsubomi,7.34,198,17558,733,19,Finished,[Shounen]
Studio Cabana,7.34,315,8456,2088,21,Publishing,[]
Shota Oni,7.34,211,17179,760,24,Publishing,[]
"Yowaki Max Reijou nanoni, Ratsuwan Konyakusha-sama no Kake ni Notte Shimatta",7.34,285,13749,1081,12,Publishing,[]
My Gently Raised Beast,7.34,2186,3782,5248,47,Finished,[]
Summertime Render 2026: Mizen Jikobukken (Summertime Rendering 2026: The Room that Dreams of Murder),7.34,753,8567,2050,7,Finished,[Shounen]
The Legendary Moonlight Sculptor,7.34,1769,3696,5376,34,On Hiatus,[]
The Rewards of Marriage,7.34,654,6504,2884,14,Publishing,[]
Questism,7.34,2213,3143,6323,60,Publishing,[]
Kita no Toride nite,7.34,214,17748,720,7,Publishing,[]
My Daughter Is the Final Boss,7.34,1719,3426,5833,19,Publishing,[]
Nagareboshi,7.34,153,24808,389,3,Finished,[]
"Kimi no Yokogao wo Miteita (I See Your Face, Turned Away)",7.34,230,10504,1577,8,Publishing,[Shoujo]
Night of Shadows,7.34,136,19107,638,9,Publishing,[]
Uso no Kodomo (False Child),7.34,206,14404,1010,2,Publishing,[Shounen]
Akuninzura shita B-kyuu Boukensha: Shujinkou to Sono Osananajimi-tachi no Papa ni Naru (B-Grade Adventurer with a Bad Guy Face: Becomes a Daddy to the Hero and His Fellow Children),7.34,299,12041,1301,8,Publishing,[]
Dogsred,7.34,358,9772,1740,12,Publishing,[Seinen]
The AcademyS Genius Swordsman,7.34,845,5497,3473,9,Publishing,[]
"Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu (Apparently, Disillusioned Adventurers Will Save the World)",7.33,140,13949,1058,9,Publishing,[]
Shouha Shouten! (Show-ha Shoten!),7.33,1289,4316,4518,29,Publishing,[Shounen]
Omega no Mukotori,7.33,306,18460,676,3,Finished,[]
Amagami wo Kimi ni,7.33,289,19510,616,2,Finished,[]
Elden Ring: Ougonju e no Michi (Elden Ring: The Road to the Erdtree),7.33,744,5890,3206,31,Publishing,[]
"Love Comedy Manga ni Haitteshimatta node, Oshi no Make Heroine wo Zenryoku de Shiawase ni Suru",7.33,708,6052,3107,21,Publishing,[]
School Back,7.33,130,17023,773,2,Publishing,[]
The ArchdukeS Adopted Saint,7.33,198,14788,968,5,Publishing,[]
Lord Baby Runs a Romance Fantasy With Cash,7.33,174,16431,817,2,Publishing,[]
Baki Rahen,7.33,234,11886,1321,7,Publishing,[Shounen]
